,TimeTick,1,0.8,0.5,0.3,0.1
13/05/2023,3.867438,0,17367.82671,44366.14826,60997.80535,78950.84396
13/05/2023,3.884104,0,17427.78932,44506.39679,61205.79395,79212.74859
13/05/2023,3.900771,0,17487.16275,44645.14049,61411.51977,79471.96917
13/05/2023,3.917438,0,17545.94363,44782.3715,61615.16938,79728.50287
13/05/2023,3.934105,0,17604.1313,44918.08523,61816.73351,79982.338
13/05/2023,3.950771,0,17661.72314,45052.28019,62016.20308,80233.46313
13/05/2023,3.967512,0,17718.71718,45184.94876,62213.57588,80481.87551
13/05/2023,3.984179,0,17775.11149,45316.08949,62408.84296,80727.56383
13/05/2023,4.000845,0,17830.90355,45445.69495,62601.9977,80970.51702
13/05/2023,4.017512,0,17886.09272,45573.7637,62793.03356,81210.73241
13/05/2023,4.034179,0,17940.67589,45700.28993,62981.94408,81448.19907
13/05/2023,4.050846,0,17994.65306,45825.26935,63168.72286,81682.90898
13/05/2023,4.067513,0,18048.02056,45948.69773,63353.36148,81914.85418
13/05/2023,4.084179,0,18100.77658,46070.57089,63535.85791,82144.02682
13/05/2023,4.100846,0,18152.92056,46190.88472,63716.20181,82370.41915
13/05/2023,4.117513,0,18204.45012,46309.63513,63894.3912,82594.02351
13/05/2023,4.13418,0,18255.36352,46426.8181,64070.41796,82814.83232
13/05/2023,4.150846,0,18305.65903,46542.42968,64244.27615,83032.83812
13/05/2023,4.167513,0,18355.33382,46656.46595,64416.17462,83248.02863
13/05/2023,4.18418,0,18404.38849,46768.92048,64585.67532,83460.40641
13/05/2023,4.200847,0,18452.82023,46879.79463,64752.99001,83669.95933
13/05/2023,4.217514,0,18500.6274,46989.08205,64918.11301,83876.68029
13/05/2023,4.23418,0,18547.80838,47096.77904,65081.03874,84080.56229
13/05/2023,4.250847,0,18594.36158,47202.88437,65241.76168,84281.59843
13/05/2023,4.267514,0,18640.28542,47649.84741,65400.2764,84479.7774
13/05/2023,4.284181,0,18685.57835,47747.29576,65556.62726,84675.10158
13/05/2023,4.300848,0,18730.23883,47843.12802,65710.7088,84867.55977
13/05/2023,4.317514,0,18774.26535,47937.34094,65862.56624,85057.14547
13/05/2023,4.334181,0,18817.65642,48029.93134,66012.19444,85243.85225
13/05/2023,4.350848,0,18860.41057,48120.89608,66159.58834,85427.67381
13/05/2023,4.367514,0,18902.5254,48210.23006,66304.73966,85608.60391
13/05/2023,4.384181,0,18944.00142,48297.93433,66448.01682,85786.63643
13/05/2023,4.400848,0,18984.83624,48384.14631,66588.67242,85961.76535
13/05/2023,4.417514,0,19025.02939,48468.57356,66727.0742,86133.98474
13/05/2023,4.434181,0,19064.57679,48551.36226,66863.22366,86303.29645
13/05/2023,4.450848,0,19103.47982,48632.50948,66997.1007,86469.67925
13/05/2023,4.467515,0,19141.73626,48712.00697,67128.71319,86633.13533
13/05/2023,4.484182,0,19179.34481,48789.85756,67258.05359,86793.65916
13/05/2023,4.500848,0,19216.30421,48866.05676,67385.11751,86951.2453
13/05/2023,4.517515,0,19252.61319,48940.60201,67509.90067,87105.88842
13/05/2023,4.534182,0,19288.27054,49013.49077,67632.39606,87257.63486
13/05/2023,4.550849,0,19323.27504,49084.72058,67752.60513,87406.37532
13/05/2023,4.567516,0,19357.62473,49154.28904,67870.52099,87552.15735
13/05/2023,4.584183,0,19391.32001,49222.19377,67986.13966,87694.97602
13/05/2023,4.600849,0,19424.36196,49288.43249,68099.45721,87834.8265
13/05/2023,4.617516,0,19456.74341,49353.0015,68210.46982,87971.70095
13/05/2023,4.634183,0,19488.4663,49415.90157,68319.17371,88105.60101
13/05/2023,4.65085,0,19519.52887,49477.12906,68425.56522,88236.98995
13/05/2023,4.667516,0,19549.93148,49536.68325,68529.64075,88364.90762
